shape_dimensions_product,window_size_product,window_stride_product,output,actions,bf,f,16,32,parameter,fusion,constant,pad,multiply,bitcast,add,maximum,convolution,convert,reduce,tuple,n,m,max_distance,avg_distance,runtime,s,reshape,u,or,broadcast,compare,iota,shift-left,subtract,divide,rsqrt,slice,select,copy,exponential,sqrt,and,dynamic-slice,dynamic-update-slice,negate,rng,bitcast-convert,shift-right-logical,8,tanh,log-plus-one,logistic,floor,abs,shift-right-arithmetic,xor,minimum,custom-call,sign,sine,cosine,clamp,power
132644872,66,31,5,426246152,22.0,7.0,22.0,7.0,14.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,31,32,8,4.096774193548387,2992170.3475903613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
960696,2,2,1,960696,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,0.5,181400.33333333334,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231866368,12,12,4,231866368,5.0,7.0,5.0,7.0,6.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,12,11,4,2.25,2332893.2807481913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6656005,15,15,3,6656005,0.0,4.0,7.0,7.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,15,14,7,3.2666666666666666,18762.012738853504,0.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1695559778,12611,68,4,1714825826,0.0,68.0,0.0,68.0,38.0,3.0,2.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,68,67,10,4.735294117647059,3435676.2007434946,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18632438,20,20,5,18632438,5.0,13.0,5.0,13.0,8.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,20,23,5,2.9,344344.63275751757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137788941,137,89,5,188120589,0.0,87.0,0.0,87.0,44.0,3.0,5.0,0.0,9.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,89,91,12,5.797752808988764,903698.9045954046,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76774925,137,89,5,127106573,0.0,87.0,0.0,87.0,44.0,3.0,5.0,0.0,9.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,89,91,12,5.797752808988764,516407.18260188086,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1697516556,841,58,5,1800145932,5.0,51.0,5.0,51.0,26.0,3.0,4.0,0.0,6.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,58,60,12,5.017241379310345,3611713.656309208,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9830412,36,36,3,9830412,0.0,34.0,0.0,34.0,12.0,1.0,4.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,36,40,7,3.2777777777777777,38904.60975609756,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43756294,30,30,3,43756294,0.0,27.0,0.0,27.0,12.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,30,36,9,3.9,57402.11320754717,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28311554,14,14,2,28311554,12.0,0.0,12.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,14,14,5,2.5,85308.7094017094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
